GrowthCurveComponentID,Age,MerchVolume
1,0,0
1,1,3.139662461
1,2,6.334449498
1,3,9.524587583
1,4,12.6971164
1,5,15.84595403
1,6,18.96761423
1,7,22.05988734
1,8,25.12128988
1,9,28.15079218
1,10,31.14766757
1,11,34.11140181
1,12,37.04163542
1,13,39.93812504
1,14,42.8007166
1,15,45.62932606
1,16,48.42392526
1,17,51.1845312
1,18,53.91119788
1,19,56.60400984
1,20,59.26307709
1,21,61.88853104
1,22,64.48052117
1,23,67.03921229
1,24,69.56478229
1,25,72.05742023
1,26,74.5173248
1,27,76.94470287
1,28,79.33976842
1,29,81.70274152
1,30,84.03384745
1,31,86.33331597
1,32,88.60138069
1,33,90.83827847
1,34,93.04424892
1,35,95.21953398
1,36,97.36437754
1,37,99.47902503
1,38,101.5637232
1,39,103.6187197
1,40,105.6442631
1,41,107.6406024
1,42,109.6079868
1,43,111.5466658
1,44,113.4568889
1,45,115.3389054
1,46,117.1929644
1,47,119.0193143
1,48,120.8182032
1,49,122.5898787
1,50,124.3345874
1,51,126.0525753
1,52,127.7440875
1,53,129.4093682
1,54,131.0486604
1,55,132.6622062
1,56,134.2502468
1,57,135.8130219
1,58,137.3507702
1,59,138.8637292
1,60,140.3521349
1,61,141.8162223
1,62,143.256225
1,63,144.672375
1,64,146.0649033
1,65,147.4340393
1,66,148.780011
1,67,150.1030449
1,68,151.4033663
1,69,152.6811987
1,70,153.9367644
1,71,155.1702841
1,72,156.3819771
1,73,157.572061
1,74,158.740752
1,75,159.8882649
1,76,161.0148129
1,77,162.1206076
1,78,163.2058592
1,79,164.2707762
1,80,165.3155657
1,81,166.3404334
1,82,167.3455832
1,83,168.3312175
1,84,169.2975375
1,85,170.2447424
1,86,171.1730303
1,87,172.0825975
1,88,172.9736389
1,89,173.8463478
1,90,174.7009161
1,91,175.5375341
1,92,176.3563906
1,93,177.1576731
1,94,177.9415672
1,95,178.7082574
1,96,179.4579266
1,97,180.1907561
1,98,180.9069258
1,99,181.6066143
1,100,182.2899985
1,101,182.957254
1,102,183.6085548
1,103,184.2440737
1,104,184.8639818
1,105,185.4684491
1,106,186.0576438
1,107,186.631733
1,108,187.1908823
1,109,187.7352558
1,110,188.2650164
1,111,188.7803255
1,112,189.2813432
1,113,189.7682281
1,114,190.2411377
1,115,190.7002278
1,116,191.1456532
1,117,191.5775673
1,118,191.9961219
1,119,192.4014679
1,120,192.7937546
1,121,193.1731301
1,122,193.5397412
1,123,193.8937335
1,124,194.2352512
1,125,194.5644373
1,126,194.8814335
1,127,195.1863804
1,128,195.4794171
1,129,195.7606818
1,130,196.0303113
1,131,196.288441
1,132,196.5352055
1,133,196.7707378
1,134,196.9951701
1,135,197.2086331
1,136,197.4112565
1,137,197.6031688
1,138,197.7844974
1,139,197.9553683
1,140,198.1159067
1,141,198.2662365
1,142,198.4064805
1,143,198.5367603
1,144,198.6571967
1,145,198.767909
1,146,198.8690156
